decade,num_articles,date_range_start,date_range_end,avg_text_length,file_size_mb
1850s,211158,18510918,18591231,4859.158236960002,711.8272409439087
1860s,343722,18600102,18691231,4339.515401981834,1093.2692546844482
1870s,518909,18700101,18791231,3336.1865625764826,1218.4521017074585
1880s,705417,18800101,18891231,2767.4976886012105,1343.6871938705444
1890s,735949,18900101,18991231,3445.433661843416,1611.9722270965576
1900s,848116,19000101,19091231,3517.085701720048,1934.7849988937378
1910s,914466,19100101,19191231,3451.005522348562,2131.4168586730957
1920s,877644,19200101,19291231,2862.1796639639765,1735.5084781646729
1930s,495824,19300101,19361231,2830.8816495369324,910.5258588790894
